GeneFamily,Sample,Value,Condition
UniRef90_A0A015ZFK4|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Wild_252,6.6448116384,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A015ZFK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,NoMonarch_Wild_260,0.0,No-Monarch
